Regulator	Target	Weight
Bcl11a	0610009l18rik	0.5
Elf1	0610009l18rik	0.5
Ep300	0610009l18rik	0.5
Gtf2i	0610009l18rik	0.5
Irf1	0610009l18rik	0.5
Irf4	0610009l18rik	0.5
Irf8	0610009l18rik	1.0
Jun	0610009l18rik	0.5
Klf13	0610009l18rik	0.5
Klf14	0610009l18rik	0.5
Klf5	0610009l18rik	1.0
Klf7	0610009l18rik	0.5
Lyl1	0610009l18rik	0.5
Nfe2	0610009l18rik	0.5
Nr4a3	0610009l18rik	0.5
Nr6a1	0610009l18rik	0.5
Pbx3	0610009l18rik	0.5
Prdm1	0610009l18rik	0.5
Rxra	0610009l18rik	0.5
Smad1	0610009l18rik	0.5
Smarcc1	0610009l18rik	0.5
Sp2	0610009l18rik	0.5
Sp3	0610009l18rik	0.5
Spi1	0610009l18rik	0.5
Spib	0610009l18rik	0.5
Srf	0610009l18rik	0.5
Tgif1	0610009l18rik	0.5
Zbtb42	0610009l18rik	1.0
Zbtb7a	0610009l18rik	0.5
Zeb1	0610009l18rik	1.0
Zfp1	0610009l18rik	0.5
Zfp148	0610009l18rik	0.5
Zfp281	0610009l18rik	0.5
Klf2	0610040f04rik	1.0
Rreb1	0610040f04rik	0.5
Arid3a	0610043k17rik	0.5
Atf5	0610043k17rik	0.5
Bcl11a	0610043k17rik	0.5
Elf1	0610043k17rik	0.5
Ep300	0610043k17rik	0.5
Irf1	0610043k17rik	0.5
Irf2	0610043k17rik	0.5
Irf3	0610043k17rik	0.5
Irf4	0610043k17rik	0.5
Irf8	0610043k17rik	1.0
Jun	0610043k17rik	0.5
Jund	0610043k17rik	0.5
Mef2a	0610043k17rik	0.5
Mef2c	0610043k17rik	0.5
Pou4f1	0610043k17rik	0.5
Prdm1	0610043k17rik	0.5
Rela	0610043k17rik	0.5
Rxra	0610043k17rik	0.5
Smad1	0610043k17rik	0.5
Sp2	0610043k17rik	0.5
Spi1	0610043k17rik	0.5
Spib	0610043k17rik	0.5
Stat2	0610043k17rik	0.5
Zeb1	0610043k17rik	1.0
Zfp110	0610043k17rik	0.5
Zfp369	0610043k17rik	0.5
Arid2	1110002l01rik	0.5
Elf1	1110002l01rik	0.5
Ep300	1110002l01rik	0.5
Hhex	1110002l01rik	1.0
Hsf1	1110002l01rik	0.5
Irf3	1110002l01rik	0.5
Irf4	1110002l01rik	0.5
Klf13	1110002l01rik	0.5
Klf14	1110002l01rik	0.5
Mef2a	1110002l01rik	0.5
Mef2c	1110002l01rik	0.5
Nfkb1	1110002l01rik	0.5
Rela	1110002l01rik	0.5
Rreb1	1110002l01rik	0.5
Spi1	1110002l01rik	0.5
Spib	1110002l01rik	0.5
Tead4	1110002l01rik	0.5
Zfp110	1110002l01rik	0.5
Zfp369	1110002l01rik	0.5
Elf1	1110008f13rik	0.5
Gtf2i	1110008f13rik	0.5
Irf1	1110008f13rik	0.5
Irf2	1110008f13rik	0.5
Irf3	1110008f13rik	0.5
Irf4	1110008f13rik	0.5
Irf8	1110008f13rik	1.0
Jund	1110008f13rik	0.5
Rela	1110008f13rik	0.5
Rreb1	1110008f13rik	0.5
Sp2	1110008f13rik	0.5
Spi1	1110008f13rik	0.5
Stat1	1110008f13rik	0.5
Stat2	1110008f13rik	0.5
