Regulator	Target	Weight
Atf5	0610040f04rik	0.5
Bcl11a	0610040f04rik	1.0
Cbfb	0610040f04rik	0.5
Foxa1	0610040f04rik	1.0
Foxj2	0610040f04rik	0.5
Foxm1	0610040f04rik	1.0
Foxo1	0610040f04rik	0.5
Hivep2	0610040f04rik	0.5
Hsf1	0610040f04rik	0.5
Irf1	0610040f04rik	0.5
Klf2	0610040f04rik	0.5
Klf3	0610040f04rik	0.5
Maz	0610040f04rik	0.5
Mef2a	0610040f04rik	0.5
Osr2	0610040f04rik	0.5
Pax5	0610040f04rik	0.5
Ppard	0610040f04rik	0.5
Rel	0610040f04rik	0.5
Relb	0610040f04rik	0.5
Rora	0610040f04rik	0.5
Rreb1	0610040f04rik	0.5
Runx1	0610040f04rik	0.5
Runx2	0610040f04rik	0.5
Runx3	0610040f04rik	0.5
Six5	0610040f04rik	0.5
Smarcc1	0610040f04rik	0.5
Sp3	0610040f04rik	0.5
Spi1	0610040f04rik	0.5
Stat1	0610040f04rik	0.5
Stat5a	0610040f04rik	0.5
Zeb1	0610040f04rik	1.0
Zfp148	0610040f04rik	0.5
Zfp281	0610040f04rik	0.5
Elf1	0610040j01rik	-0.5
Mef2a	0610040j01rik	-0.5
Pax5	0610040j01rik	-0.5
Spi1	0610040j01rik	-0.5
Trerf1	0610040j01rik	-1.0
Atf5	0610043k17rik	-0.5
Elf1	0610043k17rik	-0.5
Irf1	0610043k17rik	-0.5
Mef2a	0610043k17rik	-0.5
Mef2c	0610043k17rik	-0.5
Nr3c1	0610043k17rik	-0.5
Pax5	0610043k17rik	-0.5
Spi1	0610043k17rik	-0.5
Stat2	0610043k17rik	-0.5
E2f7	1110032f04rik	1.0
Elf1	1110032f04rik	0.5
Nfat5	1110032f04rik	0.5
Sp3	1110032f04rik	0.5
Zfp281	1110032f04rik	0.5
Ar	1110034g24rik	-1.0
Arid3a	1110034g24rik	-0.5
Atf5	1110034g24rik	-0.5
Batf	1110034g24rik	-0.5
Cebpa	1110034g24rik	-0.5
Elf1	1110034g24rik	-0.5
Foxs1	1110034g24rik	-0.5
