Regulator	Target	Weight
Ahctf1	2010107g12rik	0.5
Ahctf1	4922502d21rik	0.5
Ahctf1	4930447k03rik	-0.5
Ahctf1	5730435o14rik	0.5
Ahctf1	9130015a21rik	0.5
Ahctf1	9430076c15rik	0.5
Ahctf1	9530059o14rik	0.5
Ahctf1	A930007i19rik	0.5
Ahctf1	Aasdh	0.5
Ahctf1	Abca13	-0.5
Ahctf1	Abhd12	-0.5
Ahctf1	Abhd17b	-0.5
Ahctf1	Actg2	-0.5
Ahctf1	Adam19	0.5
Ahctf1	Afap1l2	0.5
Ahctf1	Aff3	-0.5
Ahctf1	Agmo	0.5
Ahctf1	Agpat4	0.5
Ahctf1	Akap13	0.5
Ahctf1	Alcam	0.5
Ahctf1	Ankrd44	0.5
Ahctf1	Ankrd55	0.5
Ahctf1	Apc	-0.5
Ahctf1	Apof	0.5
Ahctf1	Aqp9	0.5
Ahctf1	Arap3	0.5
Ahctf1	Arhgap21	-0.5
Ahctf1	Arhgap26	-0.5
Ahctf1	Arhgap9	0.5
Ahctf1	Asph	0.5
Ahctf1	Atf7ip	-0.5
Ahctf1	Atp10a	-0.5
Ahctf1	Atp1a1	-0.5
Ahctf1	Atrnl1	0.5
Ahctf1	Bach2	0.5
Ahctf1	Bbs9	0.5
Ahctf1	Bc064078	-0.5
Ahctf1	Bcl2l1	0.5
Ahctf1	C1qtnf3	-0.5
Ahctf1	Cacnb4	-0.5
Ahctf1	Cage1	0.5
Ahctf1	Capn3	-0.5
Ahctf1	Ccdc138	0.5
Ahctf1	Ccdc146	0.5
Ahctf1	Ccdc162	0.5
Ahctf1	Ccpg1	0.5
Ahctf1	Ccr1	0.5
Ahctf1	Ccr1l1	0.5
Ahctf1	Cd200r3	0.5
Ahctf1	Cd209a	0.5
Ahctf1	Cd274	0.5
Ahctf1	Cd300a	0.5
Ahctf1	Cd300c	0.5
Ahctf1	Cd36	-0.5
Ahctf1	Cecr2	-0.5
Ahctf1	Chst12	-0.5
Ahctf1	Chsy1	-0.5
