Regulator	Target	Weight
Ahctf1	2010010a06rik	0.5
Ahctf1	2010107g12rik	0.5
Ahctf1	3010026o09rik	0.5
Ahctf1	4922502d21rik	0.5
Ahctf1	4930478l05rik	0.5
Ahctf1	5730435o14rik	0.5
Ahctf1	9130015a21rik	0.5
Ahctf1	9530059o14rik	0.5
Ahctf1	Actb	0.5
Ahctf1	Aff3	0.5
Ahctf1	Akap13	0.5
Ahctf1	Alcam	0.5
Ahctf1	Ankrd55	0.5
Ahctf1	Apof	0.5
Ahctf1	Aqp9	0.5
Ahctf1	Arhgap9	0.5
Ahctf1	Atox1	0.5
Ahctf1	Atp10a	0.5
Ahctf1	Atp6v0a1	0.5
Ahctf1	Atrnl1	0.5
Ahctf1	Bach2	0.5
Ahctf1	C130046k22rik	0.5
Ahctf1	Cage1	0.5
Ahctf1	Ccdc138	0.5
Ahctf1	Ccdc149	0.5
Ahctf1	Ccr1l1	0.5
Ahctf1	Cd200r3	0.5
Ahctf1	Cd209a	0.5
Ahctf1	Cd274	0.5
Ahctf1	Cd300a	0.5
Ahctf1	Cd300c	0.5
Ahctf1	Cd9	0.5
Ahctf1	Cecr2	0.5
Ahctf1	Chst12	0.5
Ahctf1	Ctnnd2	0.5
Ahctf1	Cyfip1	0.5
Ahctf1	Dapk1	0.5
Ahctf1	Dgkd	0.5
Ahctf1	Dnmt3a	0.5
Ahctf1	Dnmt3aos	0.5
Ahctf1	Dock5	0.5
Ahctf1	Dpp10	0.5
Ahctf1	Dusp22	0.5
Ahctf1	Elmo1	0.5
Ahctf1	Emb	0.5
Ahctf1	Eps8	0.5
Ahctf1	Erbb3	0.5
Ahctf1	Evpl	0.5
Ahctf1	Ezh2	0.5
Ahctf1	Fam69a	0.5
Ahctf1	Flt3	0.5
Ahctf1	Fnbp1	0.5
Ahctf1	Frmd5	0.5
Ahctf1	Gab2	0.5
Ahctf1	Gch1	0.5
Ahctf1	Gemin2	0.5
Ahctf1	Ggt5	0.5
Ahctf1	Ggta1	0.5
Ahctf1	Gimap4	0.5
Ahctf1	Gli1	0.5
Ahctf1	Gm13375	0.5
Ahctf1	Gm13546	0.5
Ahctf1	Gm15850	0.5
Ahctf1	Gm7030	0.5
Ahctf1	Gm9573	0.5
Ahctf1	Gosr2	0.5
Ahctf1	Gpd2	0.5
Ahctf1	Gramd4	0.5
Ahctf1	H2-ab1	0.5
Ahctf1	H2-eb1	0.5
Ahctf1	H2-eb2	0.5
Ahctf1	Hivep2	0.5
Ahctf1	Hsh2d	0.5
Ahctf1	Il4i1	0.5
Ahctf1	Immp2l	0.5
Ahctf1	Irak2	0.5
Ahctf1	Itpr1	0.5
Ahctf1	Kif21b	0.5
Ahctf1	Klf8	0.5
Ahctf1	Klra17	0.5
Ahctf1	Ldlrad1	0.5
Ahctf1	Lrp4	0.5
Ahctf1	Lrrc16a	0.5
Ahctf1	M1ap	0.5
Ahctf1	Malt1	0.5
Ahctf1	Maml3	0.5
Ahctf1	Map3k14	0.5
Ahctf1	Marveld1	0.5
Ahctf1	Mast4	0.5
Ahctf1	Mical3	0.5
Ahctf1	Mtmr1	0.5
Ahctf1	Mybpc3	0.5
Ahctf1	Mycbpap	0.5
Ahctf1	Myo1b	0.5
Ahctf1	Nfkb1	0.5
Ahctf1	Pa2g4	0.5
Ahctf1	Pak1	0.5
Ahctf1	Pcgf6	0.5
Ahctf1	Phlpp1	0.5
