Regulator	Target	Weight
Arid2	9530082p21rik	0.5
Arid2	Abcg3	0.5
Arid2	Adamtsl4	0.5
Arid2	Antxr2	0.5
Arid2	Catip	0.5
Arid2	Cd44	0.5
Arid2	Cd81	0.5
Arid2	Creg2	0.5
Arid2	Csf3r	0.5
Arid2	Fgd4	0.5
Arid2	Flywch1	0.5
Arid2	Gab2	0.5
Arid2	Gm5544	0.5
Arid2	Gpsm2	0.5
Arid2	Herpud1	0.5
Arid2	Hs2st1	0.5
Arid2	Il1rn	0.5
Arid2	Kif1b	0.5
Arid2	Lpp	0.5
Arid2	Lrrc49	0.5
Arid2	Mcl1	0.5
Arid2	Mgat5	0.5
Arid2	Pnma1	0.5
Arid2	R74862	0.5
Arid2	Rilpl2	0.5
Arid2	Slc37a2	0.5
Arid2	Stub1	0.5
Arid2	Stxbp1	0.5
Arid2	Synj2	0.5
Arid2	Tm4sf19	0.5
Arid2	Tmem218	0.5
Arid2	Ulk1	0.5
Arid3a	2010111i01rik	0.5
Arid3a	4833427f10rik	0.5
Arid3a	4930546c10rik	0.5
Arid3a	4931440p22rik	0.5
Arid3a	5031425f14rik	0.5
Arid3a	9430076c15rik	0.5
Arid3a	A930007i19rik	0.5
Arid3a	Abca1	0.5
Arid3a	Abca9	0.5
Arid3a	Abhd12	0.5
Arid3a	Abl2	0.5
Arid3a	Acpp	0.5
Arid3a	Adam10	0.5
Arid3a	Adam19	0.5
Arid3a	Adam22	0.5
Arid3a	Adgb	0.5
Arid3a	Agmo	0.5
Arid3a	Ahrr	0.5
Arid3a	Ai607873	0.5
Arid3a	Ak2	0.5
Arid3a	Antxr2	0.5
Arid3a	Aplp2	0.5
Arid3a	Apoa2	0.5
Arid3a	App	0.5
Arid3a	Arg1	0.5
Arid3a	Arhgap10	0.5
Arid3a	Arhgap17	0.5
Arid3a	Arhgef3	0.5
Arid3a	Art2a-ps	0.5
Arid3a	Atg4c	0.5
Arid3a	Atrnl1	0.5
Arid3a	Au022793	0.5
Arid3a	B3galt5	0.5
Arid3a	B4galt1	0.5
Arid3a	Btnl2	0.5
