Regulator	Target	Weight
Atf5	0610038b21rik	0.5
Bcl6	0610038b21rik	0.5
E2f1	0610038b21rik	0.5
E2f6	0610038b21rik	0.5
Elf1	0610038b21rik	0.5
Ep300	0610038b21rik	0.5
Fosl1	0610038b21rik	1.0
Fosl2	0610038b21rik	1.0
Irf4	0610038b21rik	0.5
Junb	0610038b21rik	0.5
Klf5	0610038b21rik	0.5
Lyl1	0610038b21rik	1.0
Maz	0610038b21rik	0.5
Nfe2	0610038b21rik	1.0
Rxra	0610038b21rik	1.0
Smarcc1	0610038b21rik	0.5
Sp2	0610038b21rik	0.5
Sp3	0610038b21rik	0.5
Tal1	0610038b21rik	0.5
Tead2	0610038b21rik	0.5
Zfp148	0610038b21rik	0.5
Zfp263	0610038b21rik	1.0
Max	0610040j01rik	0.5
Mitf	0610040j01rik	1.0
Myc	0610040j01rik	0.5
Usf1	0610040j01rik	0.5
Usf2	0610040j01rik	0.5
Zfp105	0610040j01rik	0.5
Ctcf	1110002l01rik	-0.5
Tal1	1110002l01rik	-0.5
Tead3	1110002l01rik	-0.5
Dbp	1190002n15rik	0.5
Hlf	1190002n15rik	0.5
Irf4	1190002n15rik	0.5
Lyl1	1190002n15rik	1.0
Nfatc2	1190002n15rik	0.5
Nfatc3	1190002n15rik	0.5
Nfic	1190002n15rik	1.0
Nfil3	1190002n15rik	1.0
Prdm1	1190002n15rik	1.0
Tal1	1190002n15rik	0.5
Bach1	1700011e24rik	1.0
Bach2	1700011e24rik	0.5
Batf	1700011e24rik	1.0
E2f1	1700011e24rik	0.5
E2f6	1700011e24rik	0.5
Ep300	1700011e24rik	0.5
Fos	1700011e24rik	1.0
Fosl1	1700011e24rik	1.0
Fosl2	1700011e24rik	1.0
Gtf2i	1700011e24rik	0.5
Jun	1700011e24rik	0.5
Junb	1700011e24rik	0.5
Jund	1700011e24rik	0.5
Klf5	1700011e24rik	0.5
Mef2a	1700011e24rik	1.0
Nr1h2	1700011e24rik	0.5
Nr1h3	1700011e24rik	1.0
Pparg	1700011e24rik	1.0
Prdm1	1700011e24rik	1.0
Rxra	1700011e24rik	1.0
Smarcc1	1700011e24rik	0.5
Tcf7l2	1700011e24rik	1.0
Elf1	1700012b09rik	0.5
Zfp263	1700012b09rik	1.0
Atf3	1700012d01rik	1.0
Batf	1700012d01rik	1.0
Bcl6	1700012d01rik	0.5
E2f1	1700012d01rik	0.5
Fos	1700012d01rik	1.0
Fosb	1700012d01rik	0.5
Gtf2i	1700012d01rik	0.5
Jun	1700012d01rik	0.5
Junb	1700012d01rik	0.5
Jund	1700012d01rik	0.5
Klf5	1700012d01rik	0.5
Maf	1700012d01rik	0.5
Maz	1700012d01rik	0.5
Myc	1700012d01rik	0.5
Nfe2	1700012d01rik	1.0
Nr3c1	1700012d01rik	0.5
Rela	1700012d01rik	0.5
Rreb1	1700012d01rik	1.0
Runx2	1700012d01rik	1.0
Rxra	1700012d01rik	1.0
Sp2	1700012d01rik	0.5
Sp3	1700012d01rik	0.5
Tead3	1700012d01rik	0.5
Usf2	1700012d01rik	0.5
Zfp148	1700012d01rik	0.5
Zfp219	1700012d01rik	0.5
Zfp263	1700012d01rik	1.0
Zfp281	1700012d01rik	0.5
Ep300	1700016c15rik	0.5
Maf	1700016c15rik	0.5
Rreb1	1700016c15rik	1.0
Atf3	1700017b05rik	1.0
Elf1	1700017b05rik	0.5
Ep300	1700017b05rik	0.5
Hivep2	1700017b05rik	0.5
Hnf4g	1700017b05rik	0.5
Klf5	1700017b05rik	0.5
Maz	1700017b05rik	0.5
Nr4a3	1700017b05rik	0.5
Patz1	1700017b05rik	0.5
Ppard	1700017b05rik	1.0
