	Ahctf1	Ahr	Ahrr	Ar	Arid2	Arid3a	Arid3b	Arid5a	Arntl	Ascl2	Atf3	Atf5	Atoh8	Bach1	Bach2	Barx2	Batf	Batf3	Bcl11a	Bcl6	Bcl6b	Bhlhe40	Cbfb	Cdc5l	Cebpa	Cebpb	Cebpd	Cebpe	Cebpg	Cic	Creb3	Creb3l2	Creb5	Ctcf	Dbp	Ddit3	E2f1	E2f6	E2f7	E2f8	Ebf1	Egr2	Elf1	Elf2	Ep300	Esr1	Fos	Fosb	Fosl1	Fosl2	Foxa1	Foxc2	Foxf1	Foxi1	Foxj1	Foxj2	Foxj3	Foxk1	Foxm1	Foxn2	Foxo1	Foxo3	Foxo4	Foxr1	Foxs1	Gata3	Gfi1b	Gli1	Grhl1	Gtf2i	Hand1	Hey1	Hhex	Hic2	Hivep1	Hivep2	Hivep3	Hlf	Hlx	Hmg20b	Hmga1	Hnf1a	Hnf1b	Hnf4g	Hoxa2	Hoxb4	Hoxc4	Hsf1	Id3	Ikzf1	Ikzf3	Ikzf4	Ikzf5	Insm1	Irf1	Irf2	Irf3	Irf4	Irf5	Irf6	Irf8	Irf9	Jdp2	Jun	Junb	Jund	Kdm2b	Klf10	Klf11	Klf13	Klf14	Klf2	Klf3	Klf5	Klf7	Lcor	Lin54	Lyl1	Maf	Mafb	Maff	Mafg	Mafk	Max	Maz	Mecom	Mef2a	Mef2c	Mef2d	Mitf	Mlxipl	Myc	Nfat5	Nfatc1	Nfatc2	Nfatc3	Nfe2	Nfe2l1	Nfe2l2	Nfe2l3	Nfib	Nfic	Nfil3	Nfix	Nfkb1	Nfkb2	Nfya	Nkx6-2	Npas2	Nr1d1	Nr1d2	Nr1h2	Nr1h3	Nr1i3	Nr2c1	Nr2f2	Nr3c1	Nr3c2	Nr4a1	Nr4a3	Nr6a1	Onecut2	Osr2	Ovol1	Patz1	Pax5	Pax8	Pbx1	Pbx2	Pbx3	Phf21a	Plagl2	Pou2f1	Pou2f2	Pou4f1	Ppard	Pparg	Prdm1	Prdm15	Prdm16	Prdm4	Prkrir	Rara	Rarb	Rbpj	Rel	Rela	Relb	Rfx5	Rfx7	Rora	Rorc	Rreb1	Runx1	Runx2	Runx3	Rxra	Rxrb	Sall1	Satb1	Satb2	Scrt1	Scx	Sim2	Six1	Six5	Smad1	Smad3	Smarcc1	Snai1	Sox12	Sox18	Sox7	Sox9	Sp2	Sp3	Spi1	Spib	Spic	Srf	Stat1	Stat2	Stat3	Stat4	Stat5a	Stat5b	Tal1	Tbp	Tbx2	Tbx21	Tcf12	Tcf21	Tcf3	Tcf4	Tcf7l1	Tcf7l2	Tead2	Tead3	Tead4	Terf2	Tgif1	Tgif2	Thra	Thrb	Trerf1	Trim28	Usf1	Usf2	Ybx1	Zbtb18	Zbtb3	Zbtb4	Zbtb42	Zbtb49	Zbtb6	Zbtb7a	Zeb1	Zfhx2	Zfp1	Zfp105	Zfp110_Zfp369	Zfp143	Zfp148	Zfp182	Zfp202	Zfp219	Zfp263	Zfp281	Zfp282	Zfp384	Zfp467	Zfp521	Zfp523	Zfp524	Zfp628	Zfp637	Zfp652	Zfp664	Zfp784	Zkscan1	Zkscan3	Zkscan5
0610007p14rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	1.0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0610009l18rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.0	1.5	0	1.5	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0.5	1.5	0	0	0	0	0	0	0	0	0	0	0	2.5	0	0	2.5	0	0	1.0	0	0	0.5	0	0	0	0	0	0.5	0.5	0	0	1.0	0.5	0	0	0.5	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0.5	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.0	0	0	1.0	0	0	0	0	0	0	0	0	0	0.5	0	0.5	0	0	0	0	0	0.5	1.5	1.5	0.5	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	2.5	0	0	0.5	1.0	0	0.5	0	0	0	0.5	0.5	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0610009o20rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0610038b21rik	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	1.0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0.5	0	0	0	1.0	1.0	0	1.0	0	0	0	1.5	2.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0.5	0	0	0	2.0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0.5	1.0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	2.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0610040f04rik	0	0	0	0	0	1.0	0	0	0	0	0	1.5	0	1.5	0	0	0	0	3.0	0.5	1.0	0	1.5	0	0.5	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	1.0	0	1.0	0.5	1.0	0	0	1.0	2.0	0	1.0	0.5	1.5	1.5	1.0	0.5	3.0	0	1.5	0.5	1.0	0	0	0	0	0	0	0	0	0	0	0	0	2.5	0	0	0	0	0	0.5	0	0	0	0	0	1.5	0	0	1.5	2.0	0	0	1.5	0	0	2.0	0	0	0	0	0	0.5	0	1.0	0	0	0	0	0	2.5	1.5	0	0	0	0	1.5	0	0	0	0	0.5	0	1.5	0.5	1.5	0	0	0	0	-0.5	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0.5	0	0	0.5	0	0	0	0	0	0	1.0	2.0	0.5	2.0	0.5	0	0	0	0	0	0.5	1.0	0	2.5	2.0	2.5	0	0	0.5	0	2.0	2.5	2.5	1.0	0.5	0	0	0	0	0	0	0	0	0.5	0	1.0	1.5	0	0	0	0	0.0	0	1.5	1.5	0	0	0	1.5	0	0	2.0	2.5	2.0	0	1.0	0	0	0.5	0.5	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.0	0	0	0	0	0	1.5	0	0	0	0	1.5	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0
0610040j01rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.0	-0.5	0.0	0	0	0	0	0	-0.5	0	0	0	0	0	-0.5	-0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0.5	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	1.0	0	0	0	0.5	0	0	-1.0	0	0	2.0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	-1.0	0	0	0	0	0	0	0	0	0	0	0	0	-1.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	-1.0	-0.5	0	0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-2.5	0	1.0	1.0	0	0	0	0	0	0	0	0	0	0	0.0	1.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0610043k17rik	0	0	0	0	0	0.5	0	0	0	0	0	-1.5	0	0	0	0	0	0	-1.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.5	0	0.0	0	0	0	0	0	0	0	0	0	0	-0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-2.0	0.5	0.5	0.5	0	0	1.0	0	0	0.5	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.5	-1.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.0	0	0	0	0	0	0	0	0	-0.5	0	0	0	0	0	0	0	0	0.5	0	0	0.5	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0.5	0	-1.5	0.5	0	0	0	-1.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1110002l01rik	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.5	0	0	0	0	0	0	0	0	0.5	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0.5	0.5	0	0	0	0	0	0	0	0	0	0	0	0.5	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0.5	0	0	0	0	0	0	0	0	-0.5	0	0	0	0	0	0	0	0	0	0	-0.5	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1110006o24rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.5	0	-0.5	0	-0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1110008f13rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0.5	0.5	0.5	0	0	1.0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0.5	0	0	0	0.5	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
