Regulator	Target	Weight
Ahctf1	1700112h15rik	-0.5
Ahctf1	2010010a06rik	0.5
Ahctf1	2010107g12rik	1.0
Ahctf1	3010026o09rik	0.0
Ahctf1	4922502d21rik	1.0
Ahctf1	4930447k03rik	-0.5
Ahctf1	4930478l05rik	0.5
Ahctf1	5730435o14rik	1.5
Ahctf1	9130015a21rik	1.0
Ahctf1	9430076c15rik	0.5
Ahctf1	9530059o14rik	1.0
Ahctf1	A130077b15rik	-0.5
Ahctf1	A930007i19rik	0.5
Ahctf1	Aasdh	0.5
Ahctf1	Abca13	-0.5
Ahctf1	Abhd12	-1.0
Ahctf1	Abhd17b	-0.5
Ahctf1	Abtb2	-0.5
Ahctf1	Actb	0.5
Ahctf1	Actg2	-0.5
Ahctf1	Adam19	0.5
Ahctf1	Afap1l2	0.5
Ahctf1	Aff3	0.0
Ahctf1	Agmo	0.5
Ahctf1	Agpat4	0.5
Ahctf1	Aicda	-0.5
Ahctf1	Akap13	1.0
Ahctf1	Alcam	1.0
Ahctf1	Ankrd44	0.5
Ahctf1	Ankrd55	1.0
Ahctf1	Antxr2	-0.5
Ahctf1	Aox2	-0.5
Ahctf1	Apc	-1.0
Ahctf1	Apof	1.0
Ahctf1	Aqp9	1.0
Ahctf1	Arap3	0.5
Ahctf1	Arhgap21	-0.5
Ahctf1	Arhgap26	-1.0
Ahctf1	Arhgap9	1.0
Ahctf1	Asph	0.5
Ahctf1	Atf7ip	-1.0
Ahctf1	Atox1	0.5
Ahctf1	Atp10a	0.0
Ahctf1	Atp1a1	-0.5
Ahctf1	Atp6v0a1	0.5
Ahctf1	Atrnl1	1.0
Ahctf1	Bach2	1.0
Ahctf1	Bbs9	0.5
Ahctf1	Bc064078	-1.0
Ahctf1	Bcl2l1	0.0
Ahctf1	C130046k22rik	0.5
Ahctf1	C1qtnf3	-1.0
Ahctf1	Cacnb4	-1.0
Ahctf1	Cage1	1.0
Ahctf1	Capn3	-1.0
Ahctf1	Ccdc138	1.0
Ahctf1	Ccdc146	0.5
Ahctf1	Ccdc149	0.5
Ahctf1	Ccdc162	0.0
Ahctf1	Ccpg1	0.5
Ahctf1	Ccr1	0.5
Ahctf1	Ccr1l1	1.0
Ahctf1	Cd200r3	1.5
Ahctf1	Cd209a	1.0
Ahctf1	Cd274	1.5
Ahctf1	Cd300a	1.0
Ahctf1	Cd300c	1.0
Ahctf1	Cd36	-0.5
Ahctf1	Cd9	0.5
Ahctf1	Cecr2	0.0
Ahctf1	Chst12	0.0
Ahctf1	Chsy1	-0.5
Ahctf1	Ciita	0.5
Ahctf1	Clec4n	0.5
Ahctf1	Col17a1	-0.5
Ahctf1	Col25a1	-0.5
Ahctf1	Cpm	0.5
Ahctf1	Cpq	-1.0
Ahctf1	Crim1	-0.5
Ahctf1	Crlf3	0.5
Ahctf1	Ctnnd1	-0.5
Ahctf1	Ctnnd2	1.0
Ahctf1	Cxcl1	-0.5
Ahctf1	Cxcl2	-0.5
Ahctf1	Cxcl9	-0.5
Ahctf1	Cyfip1	1.0
Ahctf1	D930020b18rik	0.5
Ahctf1	Dapk1	1.0
Ahctf1	Dgkd	0.5
Ahctf1	Dgkg	-1.0
Ahctf1	Dleu2	-1.0
Ahctf1	Dnajc22	0.5
Ahctf1	Dnase2a	-0.5
Ahctf1	Dnmt3a	1.0
Ahctf1	Dnmt3aos	1.0
Ahctf1	Dock5	1.0
Ahctf1	Dpp10	0.5
Ahctf1	Dpp7	-0.5
Ahctf1	Dpysl3	-0.5
Ahctf1	Dtx4	0.0
Ahctf1	Dusp16	0.5
Ahctf1	Dusp22	1.0
Ahctf1	Dzip1	0.5
Ahctf1	E230029c05rik	0.5
Ahctf1	Eci2	0.5
Ahctf1	Elmo1	1.0
Ahctf1	Emb	1.0
Ahctf1	Endod1	-0.5
Ahctf1	Enpp3	-0.5
Ahctf1	Eps8	1.5
Ahctf1	Erbb3	1.0
Ahctf1	Evpl	0.5
Ahctf1	Ezh2	1.0
Ahctf1	F730043m19rik	0.5
Ahctf1	Fam69a	1.0
Ahctf1	Fat3	0.5
Ahctf1	Fcho2	0.5
Ahctf1	Fhad1	-0.5
Ahctf1	Fli1	-0.5
Ahctf1	Flt3	1.0
Ahctf1	Fnbp1	1.5
Ahctf1	Fndc3a	-0.5
Ahctf1	Fndc3b	0.0
Ahctf1	Frmd5	1.0
Ahctf1	Gab2	1.5
Ahctf1	Gas2l3	-1.0
Ahctf1	Gch1	1.0
Ahctf1	Gcnt2	0.5
Ahctf1	Gemin2	0.5
Ahctf1	Gfpt1	0.5
Ahctf1	Ggt5	1.0
Ahctf1	Ggta1	1.0
Ahctf1	Gimap4	1.5
Ahctf1	Gimap6	0.0
Ahctf1	Gli1	1.5
Ahctf1	Gm13375	1.0
Ahctf1	Gm13546	1.0
Ahctf1	Gm14005	-0.5
Ahctf1	Gm15850	0.5
