Regulator	Target	Weight
Bach1	0610009l18rik	0.5
Batf	0610009l18rik	0.5
Bcl11a	0610009l18rik	0.5
Brca1	0610009l18rik	1.0
E2f1	0610009l18rik	0.5
Egr1	0610009l18rik	0.5
Egr4	0610009l18rik	0.5
Elf1	0610009l18rik	0.5
Fos	0610009l18rik	0.5
Gtf2i	0610009l18rik	0.5
Hey1	0610009l18rik	0.5
Irf1	0610009l18rik	0.5
Irf3	0610009l18rik	0.5
Irf8	0610009l18rik	1.0
Klf12	0610009l18rik	0.5
Klf13	0610009l18rik	0.5
Klf14	0610009l18rik	0.5
Klf2	0610009l18rik	1.0
Klf4	0610009l18rik	0.5
Klf5	0610009l18rik	1.0
Klf7	0610009l18rik	0.5
Lyl1	0610009l18rik	0.5
Maz	0610009l18rik	0.5
Mecom	0610009l18rik	0.5
Nfe2	0610009l18rik	0.5
Nr2c2	0610009l18rik	0.5
Nr4a3	0610009l18rik	0.5
Nr6a1	0610009l18rik	0.5
Nrf1	0610009l18rik	0.5
Pbx3	0610009l18rik	0.5
Prdm1	0610009l18rik	0.5
Rela	0610009l18rik	0.5
Rreb1	0610009l18rik	0.5
Smad1	0610009l18rik	0.5
Smarcc1	0610009l18rik	1.0
Sp1	0610009l18rik	0.5
Sp2	0610009l18rik	0.5
Sp3	0610009l18rik	0.5
Spi1	0610009l18rik	0.5
Srf	0610009l18rik	1.0
Stat1	0610009l18rik	1.0
Stat5a	0610009l18rik	0.5
Stat5b	0610009l18rik	0.5
Tgif1	0610009l18rik	0.5
Yy1	0610009l18rik	0.5
Zbtb33	0610009l18rik	0.5
Zbtb42	0610009l18rik	1.0
Zbtb7a	0610009l18rik	0.5
Zbtb7c	0610009l18rik	0.5
Zeb1	0610009l18rik	1.0
Zfp1	0610009l18rik	0.5
Zfp148	0610009l18rik	0.5
Zfp182	0610009l18rik	0.5
Zfp281	0610009l18rik	0.5
Zfp784	0610009l18rik	0.5
Zfx	0610009l18rik	0.5
Bach1	0610012g03rik	-0.5
Hivep2	0610012g03rik	-0.5
Hivep3	0610012g03rik	-1.0
Prdm4	0610012g03rik	-0.5
Rxra	0610012g03rik	-0.5
Spi1	0610012g03rik	-0.5
Tcf3	0610012g03rik	-1.0
Zfp281	0610012g03rik	-0.5
Arid3a	0610043k17rik	0.5
Atf5	0610043k17rik	0.5
Bcl11a	0610043k17rik	0.5
Creb5	0610043k17rik	0.5
Egr1	0610043k17rik	0.5
Elf1	0610043k17rik	0.5
Hey1	0610043k17rik	0.5
Irf1	0610043k17rik	0.5
Irf2	0610043k17rik	0.5
Irf3	0610043k17rik	0.5
Irf8	0610043k17rik	1.0
Klf2	0610043k17rik	1.0
Lin54	0610043k17rik	0.5
Maz	0610043k17rik	0.5
Mef2a	0610043k17rik	0.5
Mef2c	0610043k17rik	0.5
Pou4f1	0610043k17rik	0.5
Prdm1	0610043k17rik	0.5
Rela	0610043k17rik	0.5
Smad1	0610043k17rik	0.5
Smarcc2	0610043k17rik	0.5
Sp1	0610043k17rik	0.5
Sp2	0610043k17rik	0.5
Sp3	0610043k17rik	0.5
Spi1	0610043k17rik	0.5
Stat2	0610043k17rik	0.5
Zbtb6	0610043k17rik	1.0
Zeb1	0610043k17rik	1.0
Zfp110	0610043k17rik	0.5
Zfp148	0610043k17rik	0.5
Zfp281	0610043k17rik	0.5
Zfp369	0610043k17rik	0.5
