Regulator	Target	Weight
Maz	0610009o20rik	1.0
Rela	0610009o20rik	0.5
Runx1	0610009o20rik	0.5
Sp2	0610009o20rik	0.5
Sp3	0610009o20rik	0.5
Tcf3	0610009o20rik	0.5
Zfp148	0610009o20rik	0.5
Zfp281	0610009o20rik	0.5
Batf	0610010k14rik	0.5
Batf3	0610010k14rik	1.0
Bcl11a	0610010k14rik	1.0
E2f4	0610010k14rik	1.0
Elf1	0610010k14rik	0.5
Foxr1	0610010k14rik	0.5
Klf5	0610010k14rik	1.0
Mef2a	0610010k14rik	0.5
Nfya	0610010k14rik	0.5
Pbx3	0610010k14rik	0.5
Setdb1	0610010k14rik	0.5
Sp2	0610010k14rik	0.5
Sp3	0610010k14rik	0.5
Sp6	0610010k14rik	0.5
Ybx1	0610010k14rik	1.0
Zbtb7a	0610010k14rik	0.5
Atf5	0610040f04rik	0.5
Bcl11a	0610040f04rik	1.0
Cbfb	0610040f04rik	0.5
Creb3l2	0610040f04rik	0.5
E2f1	0610040f04rik	1.0
E2f4	0610040f04rik	1.0
E2f6	0610040f04rik	1.0
Elf1	0610040f04rik	0.5
Foxa1	0610040f04rik	1.0
Foxj2	0610040f04rik	0.5
Foxo1	0610040f04rik	1.0
Gtf2i	0610040f04rik	1.0
Hivep2	0610040f04rik	0.5
Hsf1	0610040f04rik	0.5
Irf1	0610040f04rik	0.5
Klf10	0610040f04rik	0.5
Klf11	0610040f04rik	0.5
Klf2	0610040f04rik	1.0
Klf3	0610040f04rik	0.5
Klf5	0610040f04rik	1.0
Klf7	0610040f04rik	0.5
Lyl1	0610040f04rik	0.5
Maz	0610040f04rik	1.0
Mef2a	0610040f04rik	0.5
Nr1i2	0610040f04rik	0.5
Nr2c2	0610040f04rik	0.5
Osr2	0610040f04rik	0.5
Patz1	0610040f04rik	1.0
Pax5	0610040f04rik	1.0
Pbx3	0610040f04rik	0.5
Pou4f1	0610040f04rik	0.5
Ppard	0610040f04rik	0.5
Rel	0610040f04rik	0.5
Rela	0610040f04rik	0.5
Relb	0610040f04rik	1.0
Rreb1	0610040f04rik	0.5
Runx1	0610040f04rik	0.5
Runx2	0610040f04rik	0.5
Runx3	0610040f04rik	0.5
Six5	0610040f04rik	0.5
Smarcc1	0610040f04rik	1.0
Sp2	0610040f04rik	0.5
Sp3	0610040f04rik	0.5
Sp6	0610040f04rik	0.5
Spi1	0610040f04rik	0.5
Stat1	0610040f04rik	0.5
Stat5a	0610040f04rik	0.5
Stat5b	0610040f04rik	1.0
Zbtb7a	0610040f04rik	0.5
Zeb1	0610040f04rik	1.0
Zfp1	0610040f04rik	0.5
Zfp143	0610040f04rik	0.5
Zfp148	0610040f04rik	0.5
Zfp281	0610040f04rik	0.5
Zfp384	0610040f04rik	0.5
Zfx	0610040f04rik	0.5
Elf1	0610040j01rik	-0.5
Mef2a	0610040j01rik	-0.5
Pax5	0610040j01rik	-1.0
Six5	0610040j01rik	-0.5
Spi1	0610040j01rik	-0.5
Trerf1	0610040j01rik	-0.5
Zbtb3	0610040j01rik	-0.5
Ikzf1	1110001j03rik	0.5
Maz	1110001j03rik	1.0
Zfp281	1110001j03rik	0.5
Arid2	1110002l01rik	0.5
Elf1	1110002l01rik	0.5
Foxj2	1110002l01rik	0.5
Foxj3	1110002l01rik	0.5
Hhex	1110002l01rik	0.5
