	Ahctf1	Ahr	Arid2	Arid3a	Arid3b	Arid5a	Atf5	Atoh8	Bach1	Bach2	Batf	Batf3	Bcl11a	Bcl6	Cbfb	Cdc5l	Cic	Creb3	Creb3l2	Creb3l3	Creb3l4	Creb5	Ddit3	E2f8	Elf1	Ep300	Fos	Fosb	Foxa1	Foxf1	Foxj1	Foxj2	Foxj3	Foxk1	Foxm1	Gli1	Grhl1	Gtf2i	Hand1	Hey1	Hhex	Hic2	Hivep1	Hivep2	Hivep3	Hmg20b	Hmga1	Hoxa2	Hsf1	Hsf2	Id3	Ikzf1	Ikzf4	Ikzf5	Insm1	Irf1	Irf4	Jund	Kdm2b	Klf10	Klf11	Klf13	Klf2	Klf3	Lcor	Lin54	Lyl1	Maf	Maff	Maz	Mef2a	Mef2c	Nfat5	Nfatc1	Nfatc2	Nfatc3	Nfe2l1	Nfix	Nfkb1	Nfkb2	Npas1	Npas2	Nr1d1	Nr1d2	Nr1h2	Nr1h3	Nr1i2	Nr2c1	Nr2f6	Nr3c1	Nr4a1	Nr4a3	Ovol1	Patz1	Pax8	Pbx2	Plag1	Pou2f1	Pou2f2	Ppard	Pparg	Prdm4	Prkrir	Rarg	Rbpj	Rel	Rela	Relb	Rfx5	Rfx7	Rorc	Rreb1	Runx1	Runx2	Runx3	Rxrb	Satb1	Satb2	Scrt1	Setdb1	Sim2	Smad1	Smad3	Smarcc1	Smarcc2	Snai1	Sox12	Sox7	Sp3	Spi1	Spib	Spic	Stat1	Stat2	Stat5a	Stat5b	Tbx21	Tcf4	Tcf7l1	Terf2	Tgif1	Trerf1	Trp53	Ybx1	Zbtb12	Zbtb4	Zbtb42	Zbtb49	Zbtb6	Zbtb7a	Zeb1	Zfp1	Zfp110	Zfp143	Zfp148	Zfp219	Zfp281	Zfp282	Zfp369	Zfp384	Zfp523	Zfp628	Zfp652	Zkscan1	Zkscan3
0610007p14rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	1.0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0610009l18rik	0	0	0	0	0	0	0	0	0.5	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0.5	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0.5	0	0	0	0.5	0.5	1.0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	1.0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	1.0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0.5	1.0	0	0	0	0	0.5	1.0	0	0	0.5	0	1.0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0.5	0	0.5	0	0	0	0	0	0	0	0
0610009o20rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0.5	0.5	0	0	0	0	0	0	0	0
0610040f04rik	0	0	0	0.5	0	0	0.5	0	0.5	0	0	0	1.0	0	0.5	0	0	0	0	0	0	0	0	0	0.5	0	0.5	0	0.5	0	0	0	0.5	0	0	0	0	1.0	0	0	0	0	0	1.0	0	0	0	0	0.5	0	0	0	1.0	0	0	0.5	0	0.5	0	1.0	1.0	0	0.5	0.5	0	0	0.5	0.5	1.0	1.0	0.5	0	0	0	1.0	0.5	0	0	1.0	0	0	0	0	0	0	0	0	0.5	0	0.5	1.0	0	0	0.5	0	0	0.5	0.5	1.0	1.0	0.5	0	0	0.5	0	1.0	1.0	1.0	0	0	0	0.5	1.0	1.0	0.5	0.5	0	0	0	0	0	0	0.5	1.0	0	1.0	0	0	0.5	1.0	0	0	0.5	0	1.0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	1.0	0.5	0	0	0.5	0.5	0.5	0.5	0	0.5	0	0	0	0	0
0610040j01rik	0	0	0	0	0	0	0	0	0	0	0	0	-1.0	-1.0	0	0	0	0	0	0	0	0	0	0	-0.5	-0.5	0	0	-0.5	0	0	-0.5	-0.5	-1.0	0	0	0	0	0	0	0	0	-0.5	0	0	0	0	0	0	0	0	0	0	0	0	-0.5	0	0	0	0	0	0	0	0	0	-1.0	0	0	0	0	-0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.0	0	0	0	0	0	0	0	-1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.0	0	0	0	0	0	0	0	-1.0	-0.5	0	-0.5	-0.5	0	0	0	0	0	0	0	-1.0	0	0	0	0	0	0	0	0	0	-0.5	0	0	0	0	0	0	0	0	0	0	0	0	0
1110002l01rik	-0.5	0	-0.5	-0.5	0	0	0	0	0	0	0	0	0	-1.0	0	0	0	0	0	0	0	0	0	0	-0.5	-0.5	0	0	-0.5	-0.5	0	-0.5	-0.5	-1.0	0	0	0	0	0	0	-0.5	0	0	0	0	0	0	0	-0.5	0	0	0	0	0	0	0	-0.5	0	0	0	0	-0.5	0	0	0	0	0	-0.5	0	0	-0.5	-1.0	0	-1.0	0	0	0	0	-1.0	-1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.0	-1.0	0	0	0	0	-0.5	-1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.0	-0.5	-0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.5	-0.5	0	0	0	0	-1.0	0	0	0	0	0	0
1110006o24rik	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.0	0	-0.5	-0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1110008f13rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.5	0	0	0	0	0	0	0	0	0	0	0	0	-1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1110019d14rik	0	0	0	-0.5	0	-1.0	-0.5	0	-0.5	0	-1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.5	-0.5	-0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.0	0	0	0	0	0	0	0	-1.0	0	0	0	0	0	0	0	0	0	-1.0	-1.0	0	0	0	0	0	-1.0	0	0	-0.5	-0.5	0	-1.0	-0.5	-0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.5	0	0	0	0	0	0	0	0	0	0	0
1110032a03rik	0	0	0	-0.5	0	0	0	-0.5	0	0	0	0	-1.0	-1.0	0	0	0	0	0	0	0	0	0	0	-0.5	-0.5	0	0	-0.5	-0.5	-0.5	-0.5	-0.5	-1.0	-1.0	0	0	0	0	0	0	0	0	0	0	0	0	-0.5	0	0	0	0	0	0	0	-0.5	-0.5	0	0	0	0	0	0	0	0	0	0	0	0	-1.0	-0.5	-1.0	0	-1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.0	0	0	0	-0.5	0	0	-1.0	-1.0	-1.0	0	0	0	-0.5	0	0	0	0	0	0	-0.5	0	0	-1.0	0	0	-0.5	0	0	-0.5	0	-1.0	-0.5	-0.5	-0.5	-0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.5	0	0	-0.5	0	-0.5	0	0	0	0	0	0	0	0
