Regulator	Target	Weight
Bcl6	0610009o20rik	0.5
Maz	0610009o20rik	0.5
Pou2f2	0610009o20rik	1.0
Rela	0610009o20rik	1.0
Runx1	0610009o20rik	1.0
Sp3	0610009o20rik	0.5
Tcf12	0610009o20rik	0.5
Tcf3	0610009o20rik	0.5
Zfp148	0610009o20rik	0.5
Zfp281	0610009o20rik	0.5
Arid3a	0610040f04rik	0.5
Atf5	0610040f04rik	0.5
Bach1	0610040f04rik	0.5
Bcl11a	0610040f04rik	1.0
Bcl6	0610040f04rik	0.5
Bcl6b	0610040f04rik	1.0
Cbfb	0610040f04rik	1.0
Cebpa	0610040f04rik	0.5
Cebpb	0610040f04rik	0.5
Ebf1	0610040f04rik	0.5
Egr2	0610040f04rik	1.0
Egr4	0610040f04rik	0.5
Elf1	0610040f04rik	0.5
Elf2	0610040f04rik	0.5
Ep300	0610040f04rik	0.5
Fos	0610040f04rik	0.5
Foxa1	0610040f04rik	0.5
Foxf1	0610040f04rik	0.5
Foxi1	0610040f04rik	0.5
Foxj1	0610040f04rik	1.0
Foxj2	0610040f04rik	1.0
Foxj3	0610040f04rik	0.5
Foxk1	0610040f04rik	0.5
Foxm1	0610040f04rik	0.5
Foxo1	0610040f04rik	1.0
Foxo3	0610040f04rik	0.5
Foxo4	0610040f04rik	1.0
Gtf2i	0610040f04rik	0.5
Hivep2	0610040f04rik	1.0
Hnf1a	0610040f04rik	0.5
Hsf1	0610040f04rik	0.5
Ikzf2	0610040f04rik	0.5
Ikzf3	0610040f04rik	1.0
Ikzf4	0610040f04rik	1.0
Irf1	0610040f04rik	1.0
Irf4	0610040f04rik	1.0
Jund	0610040f04rik	0.5
Klf10	0610040f04rik	0.5
Klf11	0610040f04rik	0.5
Klf2	0610040f04rik	0.5
Klf3	0610040f04rik	0.5
Lef1	0610040f04rik	0.5
Lyl1	0610040f04rik	0.5
Maf	0610040f04rik	0.5
Maff	0610040f04rik	1.0
Mafk	0610040f04rik	0.5
Maz	0610040f04rik	0.5
Mecom	0610040f04rik	0.5
Mef2a	0610040f04rik	0.5
Nfatc1	0610040f04rik	1.0
Nfatc2	0610040f04rik	1.0
Nfatc3	0610040f04rik	0.5
Nfatc4	0610040f04rik	0.5
Nfkb1	0610040f04rik	1.0
Nr2c2	0610040f04rik	0.5
Nr3c1	0610040f04rik	0.5
Nr4a1	0610040f04rik	1.0
Osr1	0610040f04rik	0.5
Patz1	0610040f04rik	0.5
Pax5	0610040f04rik	0.5
Pbx3	0610040f04rik	0.5
Pou2f1	0610040f04rik	0.5
Pou2f2	0610040f04rik	1.0
Pou4f1	0610040f04rik	0.5
Ppard	0610040f04rik	0.5
Rara	0610040f04rik	0.5
Rel	0610040f04rik	1.0
Rela	0610040f04rik	1.0
Relb	0610040f04rik	1.0
Rreb1	0610040f04rik	0.5
Runx1	0610040f04rik	1.0
Runx2	0610040f04rik	0.5
Runx3	0610040f04rik	0.5
Rxrb	0610040f04rik	0.5
Sall1	0610040f04rik	0.5
Six5	0610040f04rik	0.5
Smad3	0610040f04rik	0.5
Smarcc1	0610040f04rik	0.5
Snai1	0610040f04rik	1.0
Sox13	0610040f04rik	0.5
Sox9	0610040f04rik	0.5
Sp3	0610040f04rik	0.5
Spi1	0610040f04rik	1.0
Spib	0610040f04rik	0.5
Stat1	0610040f04rik	0.5
Stat4	0610040f04rik	1.0
Stat5a	0610040f04rik	1.0
Stat5b	0610040f04rik	1.0
Stat6	0610040f04rik	0.5
Tbp	0610040f04rik	0.5
Tcf12	0610040f04rik	0.5
Tcf21	0610040f04rik	1.0
Tcf7l2	0610040f04rik	0.5
Zbtb7a	0610040f04rik	0.5
Zeb1	0610040f04rik	1.0
Zfp1	0610040f04rik	0.5
Zfp143	0610040f04rik	0.5
Zfp148	0610040f04rik	0.5
Zfp281	0610040f04rik	0.5
Zfp282	0610040f04rik	0.5
Zfp384	0610040f04rik	0.5
Arid3a	0610043k17rik	-0.5
Atf5	0610043k17rik	-0.5
