Regulator	Target	Weight
Ahctf1	1110002l01rik	-0.5
Ahctf1	1500011b03rik	-0.5
Ahctf1	2610008e11rik	-0.5
Ahctf1	3110009e18rik	-0.5
Ahctf1	3110052m02rik	-0.5
Ahctf1	4930447k03rik	-0.5
Ahctf1	A930007i19rik	-0.5
Ahctf1	Abca13	-0.5
Ahctf1	Abhd17b	-0.5
Ahctf1	Afap1l2	-0.5
Ahctf1	Agmo	-0.5
Ahctf1	Airn	-0.5
Ahctf1	Ankrd28	-0.5
Ahctf1	Antxr2	-0.5
Ahctf1	Anxa4	-0.5
Ahctf1	Apc	-0.5
Ahctf1	Apon	-0.5
Ahctf1	Arap3	-0.5
Ahctf1	Asxl2	-0.5
Ahctf1	Atf7ip	-0.5
Ahctf1	Atp1a1	-0.5
Ahctf1	Atp8b1	-0.5
Ahctf1	C1qtnf3	-0.5
Ahctf1	Cadm1	-0.5
Ahctf1	Casp6	-0.5
Ahctf1	Cblc	-0.5
Ahctf1	Ccdc146	-0.5
Ahctf1	Ccdc162	-0.5
Ahctf1	Ccpg1	-0.5
Ahctf1	Cd36	-0.5
Ahctf1	Cds2	-0.5
Ahctf1	Chad	-0.5
Ahctf1	Chsy1	-0.5
Ahctf1	Clk1	-0.5
Ahctf1	Cpq	-0.5
Ahctf1	Ctla2b	-0.5
Ahctf1	Dgkg	-0.5
Ahctf1	Dip2a	-0.5
Ahctf1	Dleu2	-0.5
Ahctf1	Dnajc22	-0.5
Ahctf1	Dpp7	-0.5
Ahctf1	Eif2ak3	-0.5
Ahctf1	Endod1	-0.5
Ahctf1	Enpp3	-0.5
Ahctf1	Entpd1	-0.5
Ahctf1	Exoc6b	-0.5
Ahctf1	Fam120aos	-0.5
Ahctf1	Fam222b	-0.5
Ahctf1	Fli1	-0.5
Ahctf1	Fndc3a	-0.5
Ahctf1	Gimap6	-0.5
Ahctf1	Gm525	-0.5
Ahctf1	Gm5544	-0.5
Ahctf1	Gna13	-0.5
Ahctf1	Gns	-0.5
Ahctf1	Hcar1	-0.5
Ahctf1	Igfbp7	-0.5
Ahctf1	Inip	-0.5
Ahctf1	Inpp1	-0.5
Ahctf1	Irgm1	-0.5
Ahctf1	Ivns1abp	-0.5
Ahctf1	Klf2	-0.5
Ahctf1	Klf6	-0.5
Ahctf1	Klrg1	-0.5
Ahctf1	Ldlrad4	-0.5
Ahctf1	Lin28a	-0.5
Ahctf1	Lnpep	-0.5
Ahctf1	Lpin2	-0.5
Ahctf1	Lrig1	-0.5
Ahctf1	Lyrm4	-0.5
Ahctf1	Magix	-0.5
Ahctf1	Mdm2	-0.5
Ahctf1	Med7	-0.5
Ahctf1	Mgme1	-0.5
Ahctf1	Mir3092	-0.5
Ahctf1	Mpeg1	-0.5
Ahctf1	Mycn	-0.5
Ahctf1	Notch4	-0.5
Ahctf1	Nphp3	-0.5
