Regulator	Target	Weight
Cebpb	0610009o20rik	0.5
E2f4	0610009o20rik	0.5
Fos	0610009o20rik	1.0
Foxi1	0610009o20rik	0.5
Hsf1	0610009o20rik	0.5
Irf3	0610009o20rik	0.5
Maf	0610009o20rik	1.0
Nr3c1	0610009o20rik	1.0
Pbx3	0610009o20rik	1.0
Scx	0610009o20rik	0.5
Sp2	0610009o20rik	0.5
Ybx1	0610009o20rik	0.5
Zfp263	0610009o20rik	1.0
Bhlhe40	0610010f05rik	0.5
E2f1	0610010f05rik	0.5
Klf7	0610010f05rik	1.0
Nr3c1	0610010f05rik	1.0
Pax5	0610010f05rik	0.5
Sp2	0610010f05rik	0.5
Sp3	0610010f05rik	0.5
Zfp143	0610010f05rik	1.0
Zfp524	0610010f05rik	0.5
Zfx	0610010f05rik	0.5
Ascl2	0610012g03rik	0.5
Bach1	0610012g03rik	1.0
Creb3	0610012g03rik	0.5
Creb3l3	0610012g03rik	0.5
Creb3l4	0610012g03rik	1.0
E2f1	0610012g03rik	0.5
Hivep2	0610012g03rik	0.5
Hivep3	0610012g03rik	0.5
Mitf	0610012g03rik	1.0
Pax5	0610012g03rik	0.5
Prdm1	0610012g03rik	1.0
Setdb1	0610012g03rik	0.5
Tcf3	0610012g03rik	0.5
Tfap4	0610012g03rik	0.5
Zfp281	0610012g03rik	1.0
Atf5	0610038b21rik	0.5
Bcl6	0610038b21rik	0.5
Bhlhe40	0610038b21rik	0.5
E2f1	0610038b21rik	0.5
E2f4	0610038b21rik	0.5
E2f6	0610038b21rik	0.5
Egr2	0610038b21rik	1.0
Elf1	0610038b21rik	0.5
Fosl1	0610038b21rik	0.5
Fosl2	0610038b21rik	0.5
Junb	0610038b21rik	0.5
Lyl1	0610038b21rik	1.0
Maz	0610038b21rik	0.5
Rela	0610038b21rik	1.0
Six5	0610038b21rik	0.5
Smarcc1	0610038b21rik	0.5
Sp2	0610038b21rik	0.5
Sp3	0610038b21rik	0.5
Tal1	0610038b21rik	0.5
Tfe3	0610038b21rik	1.0
Zfp143	0610038b21rik	1.0
Zfp148	0610038b21rik	1.0
Zfp263	0610038b21rik	1.0
Zfx	0610038b21rik	0.5
Rela	0610040f04rik	-1.0
Six5	0610040f04rik	-0.5
Yy1	0610040f04rik	-0.5
Klf2	0610043k17rik	-1.0
Maz	0610043k17rik	-0.5
Pax5	0610043k17rik	-0.5
Sp3	0610043k17rik	-0.5
Zbtb6	0610043k17rik	-0.5
Zfp148	0610043k17rik	-1.0
Zfp281	0610043k17rik	-1.0
Arid3a	1110002l01rik	0.5
Bcl6	1110002l01rik	0.5
Foxi1	1110002l01rik	0.5
Hsf1	1110002l01rik	0.5
Max	1110002l01rik	1.0
Nfe2l2	1110002l01rik	1.0
Nkx6-2	1110002l01rik	0.5
Tal1	1110002l01rik	0.5
Tead3	1110002l01rik	0.5
Atf5	1110017d15rik	0.5
Elf1	1110017d15rik	0.5
Klf7	1110017d15rik	1.0
Lyl1	1110017d15rik	1.0
Pbx3	1110017d15rik	1.0
Setdb1	1110017d15rik	0.5
Six5	1110017d15rik	0.5
Sp2	1110017d15rik	0.5
Sp3	1110017d15rik	0.5
Tal1	1110017d15rik	0.5
Zbtb7a	1110017d15rik	1.0
Zfp143	1110017d15rik	1.0
