Regulator	Target	Weight
Ahr	5430425k12rik	0.5
Ahr	Abcb8	-0.5
Ahr	Acoxl	0.5
Ahr	Adam10	0.5
Ahr	Add3	0.5
Ahr	Agtpbp1	0.5
Ahr	Ai450353	-0.5
Ahr	Aim2	-0.5
Ahr	Aoc2	-0.5
Ahr	Aprt	0.5
Ahr	Asap1	0.5
Ahr	Atad3a	-0.5
Ahr	Atg9b	-0.5
Ahr	Bcl2l11	0.5
Ahr	C1qbp	-0.5
Ahr	Ccdc84	0.5
Ahr	Ccno	0.5
Ahr	Cd68	0.5
Ahr	Cdk16	0.5
Ahr	Cers6	0.5
Ahr	Cib1	0.5
Ahr	Coa6	-0.5
Ahr	Col4a3bp	0.5
Ahr	Crebrf	0.5
Ahr	Csdc2	0.5
Ahr	Denr	-0.5
Ahr	Dhx33	-0.5
Ahr	Dnah1	0.5
Ahr	Emilin2	0.5
Ahr	Erbb2	0.5
Ahr	Fam53b	0.5
Ahr	Fmo5	-0.5
Ahr	Fndc3b	0.5
Ahr	Gabpb1	-0.5
Ahr	Gdpgp1	-0.5
Ahr	Gm16287	0.5
Ahr	Gm17296	0.5
Ahr	Gramd4	0.5
Ahr	Grb7	-0.5
Ahr	Gsr	0.5
Ahr	Gtf2a2	0.5
Ahr	Haus8	-0.5
Ahr	Hlf	0.5
Ahr	Il6ra	0.5
Ahr	Itfg1	-0.5
Ahr	Kcnh6	-0.5
Ahr	Klf5	0.5
Ahr	Lin54	-0.5
Ahr	Lrp1	0.5
Ahr	Lta	-0.5
Ahr	Mapk7	0.5
Ahr	Mfap4	0.5
Ahr	Mir1934	0.5
Ahr	Mnt	0.5
Ahr	Ncf4	0.5
Ahr	Nfam1	0.5
Ahr	Nfatc4	0.5
Ahr	Nhsl2	0.5
Ahr	Nos3	-0.5
Ahr	Nsl1	-0.5
Ahr	Olfml2b	0.5
Ahr	Phkb	-0.5
Ahr	Pim3	0.5
Ahr	Plekha2	-0.5
Ahr	Pold3	-0.5
Ahr	Polg	0.5
Ahr	Polk	-0.5
Ahr	Prkab2	-0.5
Ahr	Rab10	-0.5
Ahr	S100pbp	-0.5
Ahr	Sestd1	0.5
Ahr	Slc25a53	0.5
Ahr	Slfn14	-0.5
Ahr	Snap23	0.5
Ahr	Snhg5	0.5
Ahr	St6galnac4	0.5
Ahr	St6galnac6	0.5
Ahr	Stau1	0.5
Ahr	Stk24	0.5
Ahr	Syngr1	-0.5
Ahr	Syt3	0.5
Ahr	Tal1	0.5
Ahr	Tcp11	0.5
Ahr	Tfip11	0.5
Ahr	Tmem185b	0.5
Ahr	Tmem57	-0.5
Ahr	Tpst2	0.5
Ahr	Usp28	0.5
Ahr	Yars	-0.5
